activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
create purchase requisition;2022-09-02 11:29:42;{};{};{AZ2-742};{300087};{};{27}
create purchase requisition;2022-09-02 11:41:16;{};{};{HT-MEC0717};{300088};{};{54}
release purchase requisition (1);2022-09-02 15:38:33;{};{};{};{300088};{};{}
release purchase requisition (2);2022-09-02 18:06:20;{};{};{};{300088};{};{}
release purchase requisition (1);2022-09-05 10:53:52;{};{};{};{300087};{};{}
convert to purchase order;2022-09-06 09:19:16;{};{};{HT-MEC0717};{300088};{70087};{54}
release purchase order;2022-09-06 12:06:15;{};{};{};{};{70085};{}
goods receipt for purchase order;2022-09-06 14:57:29;{};{};{DPC1018};{};{70085};{227}
release purchase requisition (2);2022-09-06 19:20:56;{};{};{};{300087};{};{}
release purchase order;2022-09-07 13:45:26;{};{};{};{};{70087};{}
convert to purchase order;2022-09-08 10:29:08;{};{};{AZ2-742};{300087};{70088};{27}
release purchase order;2022-09-09 09:51:46;{};{};{};{};{70086};{}
goods receipt for purchase order;2022-09-09 11:31:45;{};{};{DPC1015};{};{70086};{227}
release purchase order;2022-09-12 22:09:43;{};{};{};{};{70088};{}
goods receipt for purchase order;2022-09-13 16:14:50;{};{};{AZ2-742};{};{70088};{27}
create production order;2022-09-14 11:42:19;{990031};{ACT-DCD-11};{ACT-BCD};{};{};{73}
create purchase requisition;2022-09-14 13:22:37;{};{};{ACT-BCD};{300089};{};{73}
release purchase requisition (1);2022-09-14 15:02:02;{};{};{};{300089};{};{}
release purchase requisition (2);2022-09-15 16:49:06;{};{};{};{300089};{};{}
goods receipt for purchase order;2022-09-15 19:41:56;{};{};{HT-MEC0717};{};{70087};{54}
convert to purchase order;2022-09-16 09:41:55;{};{};{ACT-BCD};{300089};{70089};{73}
release purchase order;2022-09-16 10:44:15;{};{};{};{};{70089};{}
goods issue for production order;2022-09-16 10:59:24;{990007};{};{DPC1015};{};{};{227}
goods issue for production order;2022-09-16 11:02:52;{990050};{};{AZ2-742};{};{};{27}
goods issue for production order;2022-09-20 09:16:42;{990050};{};{HT-MEC0717};{};{};{54}
confirm production order;2022-09-20 09:16:42;{990050};{IBP-120};{};{};{};{27}
goods receipt for purchase order;2022-09-20 17:39:09;{};{};{ACT-BCD};{};{70089};{73}
create production order;2022-09-21 13:03:16;{990015};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{498}
goods issue for production order;2022-09-21 14:22:05;{990007};{};{DPC1018};{};{};{227}
confirm production order;2022-09-21 14:22:05;{990007};{000000000050066346};{};{};{};{227}
create purchase requisition;2022-09-21 14:50:20;{};{};{AM2-540};{300090};{};{498}
create purchase requisition;2022-09-21 19:34:15;{};{};{HT-S2011600-7};{300091};{};{498}
create purchase requisition;2022-09-22 12:22:20;{};{};{HT-MEC9417};{300092};{};{498}
release purchase requisition (1);2022-09-22 14:25:38;{};{};{};{300090};{};{}
release purchase requisition (1);2022-09-22 14:36:52;{};{};{};{300092};{};{}
release purchase requisition (1);2022-09-22 15:12:34;{};{};{};{300091};{};{}
create production order;2022-09-22 15:35:34;{990028};{000000000050066346};{DPC1015,DPC1018};{};{};{483}
release purchase requisition (2);2022-09-23 15:20:34;{};{};{};{300092};{};{}
create purchase requisition;2022-09-23 17:10:08;{};{};{DPC1018};{300093};{};{483}
release purchase requisition (1);2022-09-26 09:12:12;{};{};{};{300093};{};{}
release purchase requisition (2);2022-09-26 12:08:11;{};{};{};{300090};{};{}
release purchase requisition (2);2022-09-26 12:51:02;{};{};{};{300093};{};{}
convert to purchase order;2022-09-26 12:58:53;{};{};{DPC1018};{300093};{70090};{483}
release purchase requisition (2);2022-09-26 13:42:44;{};{};{};{300091};{};{}
convert to purchase order;2022-09-26 19:07:21;{};{};{AM2-540};{300090};{70091};{498}
convert to purchase order;2022-09-27 09:01:58;{};{};{HT-S2011600-7};{300091};{70092};{498}
convert to purchase order;2022-09-27 09:15:45;{};{};{HT-MEC9417};{300092};{70093};{498}
create purchase requisition;2022-09-27 09:42:24;{};{};{DPC1015};{300094};{};{483}
goods issue for production order;2022-09-27 11:19:39;{990031};{};{ACT-BCD};{};{};{73}
confirm production order;2022-09-27 11:19:39;{990031};{ACT-DCD-11};{};{};{};{73}
release purchase order;2022-09-28 20:02:40;{};{};{};{};{70092};{}
release purchase order;2022-09-28 20:32:07;{};{};{};{};{70093};{}
goods receipt for purchase order;2022-09-28 21:13:01;{};{};{HT-S2011600-7};{};{70092};{498}
reject purchase order;2022-09-29 09:26:06;{};{};{};{};{70090};{}
release purchase requisition (1);2022-09-29 09:51:49;{};{};{};{300094};{};{}
create production order;2022-09-29 10:09:09;{990041};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{111}
convert to purchase order;2022-09-29 11:12:33;{};{};{DPC1015};{300094};{70094};{483}
create purchase requisition;2022-09-29 16:18:33;{};{};{DPC1018};{300095};{};{483}
goods issue for production order;2022-09-29 16:26:52;{990015};{};{HT-S2011600-7};{};{};{498}
release purchase requisition (1);2022-09-29 16:59:59;{};{};{};{300095};{};{}
create purchase requisition;2022-09-30 14:09:42;{};{};{AZ2-742};{300096};{};{111}
create purchase requisition;2022-09-30 14:55:16;{};{};{HT-MEC0717};{300097};{};{222}
release purchase requisition (1);2022-09-30 15:55:21;{};{};{};{300096};{};{}
goods receipt for purchase order;2022-09-30 16:31:45;{};{};{HT-MEC9417};{};{70093};{498}
release purchase requisition (2);2022-09-30 17:09:42;{};{};{};{300096};{};{}
release purchase order;2022-10-03 11:00:00;{};{};{};{};{70091};{}
release purchase requisition (2);2022-10-03 16:11:27;{};{};{};{300095};{};{}
release purchase requisition (1);2022-10-03 16:17:19;{};{};{};{300097};{};{}
create production order;2022-10-03 17:22:59;{990016};{ACT-DCD-11};{ACT-BCD};{};{};{108}
goods receipt for purchase order;2022-10-04 08:22:04;{};{};{AM2-540};{};{70091};{498}
convert to purchase order;2022-10-04 09:15:42;{};{};{DPC1018};{300095};{70095};{483}
release purchase requisition (2);2022-10-04 09:44:00;{};{};{};{300097};{};{}
convert to purchase order;2022-10-04 10:57:23;{};{};{AZ2-742};{300096};{70096};{111}
goods issue for production order;2022-10-04 14:59:59;{990015};{};{HT-MEC9417};{};{};{498}
convert to purchase order;2022-10-04 19:13:13;{};{};{HT-MEC0717};{300097};{70097};{222}
release purchase order;2022-10-04 19:30:36;{};{};{};{};{70095};{}
release purchase order;2022-10-05 11:18:04;{};{};{};{};{70096};{}
create purchase requisition;2022-10-05 11:32:22;{};{};{ACT-BCD};{300098};{};{108}
reject purchase order;2022-10-05 12:58:22;{};{};{};{};{70094};{}
goods receipt for purchase order;2022-10-05 13:48:11;{};{};{DPC1018};{};{70095};{483}
release purchase requisition (1);2022-10-05 13:50:26;{};{};{};{300098};{};{}
create purchase requisition;2022-10-05 22:17:19;{};{};{DPC1015};{300099};{};{483}
release purchase requisition (1);2022-10-06 11:42:18;{};{};{};{300099};{};{}
release purchase requisition (2);2022-10-06 12:18:48;{};{};{};{300098};{};{}
goods issue for production order;2022-10-06 15:07:32;{990028};{};{DPC1018};{};{};{483}
release purchase requisition (2);2022-10-06 17:31:42;{};{};{};{300099};{};{}
convert to purchase order;2022-10-06 19:44:03;{};{};{ACT-BCD};{300098};{70098};{108}
goods receipt for purchase order;2022-10-07 10:24:56;{};{};{AZ2-742};{};{70096};{111}
release purchase order;2022-10-07 17:48:44;{};{};{};{};{70098};{}
convert to purchase order;2022-10-07 21:32:19;{};{};{DPC1015};{300099};{70099};{483}
release purchase order;2022-10-10 09:50:10;{};{};{};{};{70099};{}
goods receipt for purchase order;2022-10-10 14:23:50;{};{};{DPC1015};{};{70099};{483}
reject purchase order;2022-10-10 14:54:12;{};{};{};{};{70097};{}
create purchase requisition;2022-10-11 09:52:30;{};{};{HT-MEC0717};{300100};{};{222}
goods issue for production order;2022-10-11 14:34:24;{990028};{};{DPC1015};{};{};{483}
confirm production order;2022-10-11 14:34:24;{990028};{000000000050066346};{};{};{};{483}
goods receipt for purchase order;2022-10-11 15:28:51;{};{};{ACT-BCD};{};{70098};{108}
release purchase requisition (1);2022-10-11 15:49:31;{};{};{};{300100};{};{}
goods issue for production order;2022-10-12 11:09:38;{990015};{};{AM2-540};{};{};{498}
confirm production order;2022-10-12 11:09:38;{990015};{CLIP-ON_MIC};{};{};{};{498}
goods issue for production order;2022-10-12 16:57:23;{990041};{};{AZ2-742};{};{};{111}
release purchase requisition (2);2022-10-13 13:40:55;{};{};{};{300100};{};{}
convert to purchase order;2022-10-18 15:59:56;{};{};{HT-MEC0717};{300100};{70100};{222}
release purchase order;2022-10-19 10:27:08;{};{};{};{};{70100};{}
goods receipt for purchase order;2022-10-19 10:43:11;{};{};{HT-MEC0717};{};{70100};{222}
goods issue for production order;2022-10-19 10:59:07;{990016};{};{ACT-BCD};{};{};{108}
confirm production order;2022-10-19 10:59:07;{990016};{ACT-DCD-11};{};{};{};{108}
goods issue for production order;2022-10-19 12:22:58;{990041};{};{HT-MEC0717};{};{};{222}
confirm production order;2022-10-19 12:22:58;{990041};{IBP-120};{};{};{};{111}
create production order;2022-10-24 21:27:40;{990029};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{8}
create purchase requisition;2022-10-25 08:43:25;{};{};{AM2-540};{300101};{};{8}
release purchase requisition (1);2022-10-25 10:18:01;{};{};{};{300101};{};{}
release purchase requisition (2);2022-10-25 10:22:48;{};{};{};{300101};{};{}
create purchase requisition;2022-10-25 10:40:50;{};{};{HT-MEC9417};{300102};{};{8}
create purchase requisition;2022-10-25 15:25:16;{};{};{HT-S2011600-7};{300103};{};{8}
release purchase requisition (1);2022-10-25 18:23:15;{};{};{};{300102};{};{}
release purchase requisition (2);2022-10-25 20:22:47;{};{};{};{300102};{};{}
release purchase requisition (1);2022-10-26 10:07:55;{};{};{};{300103};{};{}
convert to purchase order;2022-10-26 11:00:30;{};{};{AM2-540};{300101};{70101};{8}
convert to purchase order;2022-10-27 08:26:20;{};{};{HT-S2011600-7};{300103};{70102};{8}
convert to purchase order;2022-10-27 08:40:41;{};{};{HT-MEC9417};{300102};{70103};{8}
release purchase order;2022-10-28 09:05:37;{};{};{};{};{70101};{}
create production order;2022-10-28 18:10:29;{990034};{ACT-DCD-11};{ACT-BCD};{};{};{137}
release purchase order;2022-10-31 14:42:35;{};{};{};{};{70103};{}
create purchase requisition;2022-10-31 15:43:33;{};{};{ACT-BCD};{300104};{};{137}
release purchase requisition (1);2022-10-31 17:11:56;{};{};{};{300104};{};{}
goods receipt for purchase order;2022-10-31 17:25:20;{};{};{HT-MEC9417};{};{70103};{8}
goods receipt for purchase order;2022-11-01 09:46:41;{};{};{AM2-540};{};{70101};{8}
release purchase order;2022-11-01 14:29:38;{};{};{};{};{70102};{}
goods receipt for purchase order;2022-11-01 14:30:06;{};{};{HT-S2011600-7};{};{70102};{8}
release purchase requisition (2);2022-11-01 16:48:21;{};{};{};{300104};{};{}
convert to purchase order;2022-11-02 11:12:46;{};{};{ACT-BCD};{300104};{70104};{137}
create production order;2022-11-04 15:01:25;{990042};{000000000050066346};{DPC1015,DPC1018};{};{};{115}
create purchase requisition;2022-11-04 17:01:27;{};{};{DPC1015};{300105};{};{115}
create purchase requisition;2022-11-07 09:44:51;{};{};{DPC1018};{300106};{};{115}
release purchase requisition (1);2022-11-07 16:05:46;{};{};{};{300106};{};{}
release purchase requisition (1);2022-11-07 16:17:40;{};{};{};{300105};{};{}
release purchase requisition (2);2022-11-08 09:15:03;{};{};{};{300106};{};{}
convert to purchase order;2022-11-08 10:59:52;{};{};{DPC1018};{300106};{70105};{115}
reject purchase order;2022-11-08 12:10:18;{};{};{};{};{70104};{}
create purchase requisition;2022-11-08 18:55:31;{};{};{ACT-BCD};{300107};{};{137}
release purchase order;2022-11-09 09:41:16;{};{};{};{};{70105};{}
release purchase requisition (1);2022-11-09 11:05:14;{};{};{};{300107};{};{}
release purchase requisition (2);2022-11-09 11:12:09;{};{};{};{300105};{};{}
release purchase requisition (2);2022-11-10 11:27:20;{};{};{};{300107};{};{}
goods receipt for purchase order;2022-11-10 16:56:20;{};{};{DPC1018};{};{70105};{115}
convert to purchase order;2022-11-11 11:48:11;{};{};{DPC1015};{300105};{70106};{115}
goods issue for production order;2022-11-11 13:00:00;{990042};{};{DPC1018};{};{};{115}
convert to purchase order;2022-11-14 09:42:52;{};{};{ACT-BCD};{300107};{70107};{137}
release purchase order;2022-11-15 15:13:57;{};{};{};{};{70106};{}
goods receipt for purchase order;2022-11-15 16:18:35;{};{};{DPC1015};{};{70106};{115}
goods issue for production order;2022-11-15 21:48:45;{990029};{};{HT-MEC9417};{};{};{8}
goods issue for production order;2022-11-16 10:52:50;{990042};{};{DPC1015};{};{};{115}
confirm production order;2022-11-16 10:52:50;{990042};{000000000050066346};{};{};{};{115}
goods issue for production order;2022-11-16 12:39:07;{990029};{};{HT-S2011600-7};{};{};{8}
goods issue for production order;2022-11-16 16:20:22;{990029};{};{AM2-540};{};{};{8}
confirm production order;2022-11-16 16:20:22;{990029};{CLIP-ON_MIC};{};{};{};{8}
reject purchase order;2022-11-17 10:27:07;{};{};{};{};{70107};{}
create purchase requisition;2022-11-17 17:45:16;{};{};{ACT-BCD};{300108};{};{137}
release purchase requisition (1);2022-11-18 09:01:06;{};{};{};{300108};{};{}
release purchase requisition (2);2022-11-18 14:03:14;{};{};{};{300108};{};{}
convert to purchase order;2022-11-21 10:20:29;{};{};{ACT-BCD};{300108};{70108};{137}
reject purchase order;2022-11-25 08:57:03;{};{};{};{};{70108};{}
create purchase requisition;2022-11-25 14:57:15;{};{};{ACT-BCD};{300109};{};{137}
release purchase requisition (1);2022-11-25 19:45:00;{};{};{};{300109};{};{}
release purchase requisition (2);2022-11-29 11:11:32;{};{};{};{300109};{};{}
convert to purchase order;2022-11-29 17:01:59;{};{};{ACT-BCD};{300109};{70109};{137}
release purchase order;2022-11-30 08:40:25;{};{};{};{};{70109};{}
goods receipt for purchase order;2022-12-01 08:45:08;{};{};{ACT-BCD};{};{70109};{137}
goods issue for production order;2022-12-05 15:24:33;{990034};{};{ACT-BCD};{};{};{137}
confirm production order;2022-12-05 15:24:33;{990034};{ACT-DCD-11};{};{};{};{137}
