activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
goods issue for production order;2022-08-10 19:31:46;{990009};{};{HT-MEC0717};{};{};{24}
create purchase requisition;2022-08-11 11:58:11;{};{};{ACT-BCD};{300092};{};{187}
convert to purchase order;2022-08-11 18:39:33;{};{};{AZ2-742};{300091};{70091};{12}
release purchase requisition (1);2022-08-17 15:55:25;{};{};{};{300092};{};{}
create production order;2022-08-18 11:43:25;{990033};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{107}
create purchase requisition;2022-08-19 13:21:44;{};{};{HT-S2011600-7};{300093};{};{107}
release purchase requisition (1);2022-08-19 16:52:36;{};{};{};{300093};{};{}
create production order;2022-08-22 12:29:03;{990008};{000000000050066346};{DPC1015,DPC1018};{};{};{103}
release purchase requisition (2);2022-08-22 12:33:43;{};{};{};{300092};{};{}
release purchase order;2022-08-22 14:50:33;{};{};{};{};{70091};{}
goods receipt for purchase order;2022-08-23 10:45:46;{};{};{AZ2-742};{};{70091};{12}
convert to purchase order;2022-08-23 12:22:24;{};{};{ACT-BCD};{300092};{70092};{187}
release purchase requisition (2);2022-08-23 15:37:08;{};{};{};{300093};{};{}
convert to purchase order;2022-08-24 08:45:05;{};{};{HT-S2011600-7};{300093};{70093};{107}
create purchase requisition;2022-08-25 11:09:47;{};{};{AM2-540};{300094};{};{107}
reject purchase order;2022-08-25 15:26:14;{};{};{};{};{70093};{}
create purchase requisition;2022-08-26 10:18:16;{};{};{HT-MEC9417};{300095};{};{107}
create purchase requisition;2022-08-26 10:26:29;{};{};{HT-S2011600-7};{300096};{};{107}
create purchase requisition;2022-08-26 14:14:48;{};{};{DPC1015};{300097};{};{103}
release purchase requisition (1);2022-08-29 09:32:14;{};{};{};{300096};{};{}
release purchase requisition (1);2022-08-29 09:42:37;{};{};{};{300095};{};{}
release purchase requisition (1);2022-08-29 09:56:38;{};{};{};{300097};{};{}
create purchase requisition;2022-08-29 15:12:07;{};{};{DPC1018};{300098};{};{103}
goods issue for production order;2022-08-30 13:30:06;{990009};{};{AZ2-742};{};{};{12}
confirm production order;2022-08-30 13:30:06;{990009};{IBP-120};{};{};{};{12}
release purchase requisition (2);2022-08-30 17:38:01;{};{};{};{300095};{};{}
release purchase requisition (2);2022-08-31 08:33:04;{};{};{};{300096};{};{}
release purchase order;2022-08-31 08:38:50;{};{};{};{};{70092};{}
release purchase requisition (1);2022-08-31 10:09:29;{};{};{};{300098};{};{}
convert to purchase order;2022-08-31 11:37:16;{};{};{HT-MEC9417};{300095};{70094};{107}
release purchase requisition (1);2022-08-31 13:38:47;{};{};{};{300094};{};{}
goods receipt for purchase order;2022-08-31 15:25:14;{};{};{ACT-BCD};{};{70092};{187}
release purchase requisition (2);2022-08-31 17:33:46;{};{};{};{300097};{};{}
convert to purchase order;2022-09-01 09:21:32;{};{};{DPC1015};{300097};{70095};{103}
convert to purchase order;2022-09-01 11:29:47;{};{};{HT-S2011600-7};{300096};{70096};{107}
release purchase order;2022-09-01 16:18:37;{};{};{};{};{70094};{}
goods receipt for purchase order;2022-09-01 16:30:53;{};{};{HT-MEC9417};{};{70094};{107}
release purchase requisition (2);2022-09-01 17:51:38;{};{};{};{300098};{};{}
release purchase order;2022-09-01 21:10:45;{};{};{};{};{70095};{}
release purchase requisition (2);2022-09-02 09:44:23;{};{};{};{300094};{};{}
goods issue for production order;2022-09-02 10:11:01;{990035};{};{ACT-BCD};{};{};{187}
confirm production order;2022-09-02 10:11:01;{990035};{ACT-DCD-11};{};{};{};{187}
release purchase order;2022-09-02 11:47:32;{};{};{};{};{70096};{}
convert to purchase order;2022-09-02 12:28:01;{};{};{DPC1018};{300098};{70097};{103}
convert to purchase order;2022-09-02 17:19:15;{};{};{AM2-540};{300094};{70098};{107}
release purchase order;2022-09-05 08:50:06;{};{};{};{};{70097};{}
goods receipt for purchase order;2022-09-05 09:09:07;{};{};{HT-S2011600-7};{};{70096};{107}
goods receipt for purchase order;2022-09-05 12:35:10;{};{};{DPC1018};{};{70097};{103}
goods receipt for purchase order;2022-09-05 15:19:28;{};{};{DPC1015};{};{70095};{103}
release purchase order;2022-09-06 16:05:28;{};{};{};{};{70098};{}
create production order;2022-09-07 13:35:28;{990018};{ACT-DCD-11};{ACT-BCD};{};{};{8}
goods receipt for purchase order;2022-09-07 16:41:23;{};{};{AM2-540};{};{70098};{107}
create production order;2022-09-07 17:44:37;{990040};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{349}
create purchase requisition;2022-09-08 14:39:17;{};{};{ACT-BCD};{300099};{};{8}
create purchase requisition;2022-09-08 17:40:48;{};{};{AZ2-742};{300100};{};{349}
release purchase requisition (1);2022-09-08 21:02:56;{};{};{};{300099};{};{}
release purchase requisition (2);2022-09-09 08:41:20;{};{};{};{300099};{};{}
release purchase requisition (1);2022-09-09 09:56:44;{};{};{};{300100};{};{}
release purchase requisition (2);2022-09-09 12:39:34;{};{};{};{300100};{};{}
goods issue for production order;2022-09-09 12:42:03;{990008};{};{DPC1018};{};{};{103}
create purchase requisition;2022-09-09 13:13:50;{};{};{HT-MEC0717};{300101};{};{698}
release purchase requisition (1);2022-09-09 13:39:01;{};{};{};{300101};{};{}
convert to purchase order;2022-09-12 11:29:44;{};{};{AZ2-742};{300100};{70099};{349}
release purchase requisition (2);2022-09-12 11:40:58;{};{};{};{300101};{};{}
convert to purchase order;2022-09-12 11:47:32;{};{};{HT-MEC0717};{300101};{70100};{698}
goods issue for production order;2022-09-12 11:48:59;{990008};{};{DPC1015};{};{};{103}
confirm production order;2022-09-12 11:48:59;{990008};{000000000050066346};{};{};{};{103}
convert to purchase order;2022-09-12 13:04:16;{};{};{ACT-BCD};{300099};{70101};{8}
release purchase order;2022-09-13 16:53:36;{};{};{};{};{70099};{}
release purchase order;2022-09-14 12:25:54;{};{};{};{};{70100};{}
release purchase order;2022-09-15 10:22:15;{};{};{};{};{70101};{}
goods receipt for purchase order;2022-09-15 10:56:45;{};{};{ACT-BCD};{};{70101};{8}
goods receipt for purchase order;2022-09-15 17:15:47;{};{};{AZ2-742};{};{70099};{349}
create production order;2022-09-20 10:22:09;{990020};{000000000050066346};{DPC1015,DPC1018};{};{};{107}
goods issue for production order;2022-09-20 10:22:09;{990018};{};{ACT-BCD};{};{};{8}
confirm production order;2022-09-20 10:22:09;{990018};{ACT-DCD-11};{};{};{};{8}
create production order;2022-09-20 10:45:55;{990045};{ACT-DCD-11};{ACT-BCD};{};{};{44}
create purchase requisition;2022-09-20 14:37:23;{};{};{DPC1018};{300102};{};{107}
goods receipt for purchase order;2022-09-20 15:43:39;{};{};{HT-MEC0717};{};{70100};{698}
create purchase requisition;2022-09-20 16:07:57;{};{};{DPC1015};{300103};{};{107}
release purchase requisition (1);2022-09-20 16:24:42;{};{};{};{300102};{};{}
create purchase requisition;2022-09-21 12:24:35;{};{};{ACT-BCD};{300104};{};{44}
release purchase requisition (2);2022-09-21 14:09:17;{};{};{};{300102};{};{}
convert to purchase order;2022-09-21 16:05:31;{};{};{DPC1018};{300102};{70102};{107}
release purchase requisition (1);2022-09-21 18:13:13;{};{};{};{300104};{};{}
release purchase requisition (1);2022-09-21 20:10:32;{};{};{};{300103};{};{}
release purchase order;2022-09-22 14:18:06;{};{};{};{};{70102};{}
release purchase requisition (2);2022-09-22 15:45:11;{};{};{};{300103};{};{}
release purchase requisition (2);2022-09-23 08:42:47;{};{};{};{300104};{};{}
goods issue for production order;2022-09-26 10:22:30;{990040};{};{AZ2-742};{};{};{349}
goods receipt for purchase order;2022-09-26 11:17:09;{};{};{DPC1018};{};{70102};{107}
convert to purchase order;2022-09-26 13:36:43;{};{};{DPC1015};{300103};{70103};{107}
goods issue for production order;2022-09-26 19:11:24;{990040};{};{HT-MEC0717};{};{};{698}
confirm production order;2022-09-26 19:11:24;{990040};{IBP-120};{};{};{};{349}
goods issue for production order;2022-09-27 09:23:44;{990020};{};{DPC1018};{};{};{107}
convert to purchase order;2022-09-27 14:10:24;{};{};{ACT-BCD};{300104};{70104};{44}
release purchase order;2022-09-28 16:13:10;{};{};{};{};{70103};{}
reject purchase order;2022-09-29 16:08:02;{};{};{};{};{70104};{}
create purchase requisition;2022-09-29 19:00:54;{};{};{ACT-BCD};{300105};{};{44}
release purchase requisition (1);2022-09-30 15:14:47;{};{};{};{300105};{};{}
goods receipt for purchase order;2022-10-03 09:30:05;{};{};{DPC1015};{};{70103};{107}
release purchase requisition (2);2022-10-03 15:28:18;{};{};{};{300105};{};{}
goods issue for production order;2022-10-04 09:49:36;{990020};{};{DPC1015};{};{};{107}
confirm production order;2022-10-04 09:49:36;{990020};{000000000050066346};{};{};{};{107}
convert to purchase order;2022-10-05 16:20:32;{};{};{ACT-BCD};{300105};{70105};{44}
release purchase order;2022-10-06 08:26:04;{};{};{};{};{70105};{}
goods receipt for purchase order;2022-10-06 11:03:16;{};{};{ACT-BCD};{};{70105};{44}
goods issue for production order;2022-10-07 11:23:06;{990033};{};{HT-MEC9417};{};{};{107}
goods issue for production order;2022-10-07 17:40:24;{990033};{};{HT-S2011600-7};{};{};{107}
create production order;2022-10-10 08:53:35;{990029};{000000000050066346};{DPC1015,DPC1018};{};{};{262}
create purchase requisition;2022-10-10 11:19:08;{};{};{DPC1015};{300106};{};{262}
goods issue for production order;2022-10-10 20:02:43;{990033};{};{AM2-540};{};{};{107}
confirm production order;2022-10-10 20:02:43;{990033};{CLIP-ON_MIC};{};{};{};{107}
create purchase requisition;2022-10-11 08:46:19;{};{};{DPC1018};{300107};{};{262}
release purchase requisition (1);2022-10-11 10:38:34;{};{};{};{300107};{};{}
release purchase requisition (1);2022-10-11 16:47:01;{};{};{};{300106};{};{}
release purchase requisition (2);2022-10-12 12:12:03;{};{};{};{300107};{};{}
release purchase requisition (2);2022-10-12 15:39:34;{};{};{};{300106};{};{}
convert to purchase order;2022-10-12 17:11:27;{};{};{DPC1015};{300106};{70106};{262}
goods issue for production order;2022-10-13 13:04:39;{990045};{};{ACT-BCD};{};{};{44}
confirm production order;2022-10-13 13:04:39;{990045};{ACT-DCD-11};{};{};{};{44}
convert to purchase order;2022-10-13 19:10:51;{};{};{DPC1018};{300107};{70107};{262}
create production order;2022-10-14 17:11:40;{990044};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{99}
create purchase requisition;2022-10-17 10:10:35;{};{};{HT-MEC0717};{300108};{};{198}
release purchase requisition (1);2022-10-17 10:12:00;{};{};{};{300108};{};{}
create production order;2022-10-17 16:20:07;{990037};{ACT-DCD-11};{ACT-BCD};{};{};{469}
create production order;2022-10-17 16:28:30;{990025};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{156}
release purchase order;2022-10-17 18:18:05;{};{};{};{};{70106};{}
release purchase requisition (2);2022-10-18 09:35:56;{};{};{};{300108};{};{}
release purchase order;2022-10-18 11:01:05;{};{};{};{};{70107};{}
create purchase requisition;2022-10-18 12:39:18;{};{};{AZ2-742};{300109};{};{99}
convert to purchase order;2022-10-18 15:46:24;{};{};{HT-MEC0717};{300108};{70108};{198}
release purchase requisition (1);2022-10-18 16:17:28;{};{};{};{300109};{};{}
create purchase requisition;2022-10-19 16:31:25;{};{};{ACT-BCD};{300110};{};{469}
create purchase requisition;2022-10-19 16:55:48;{};{};{HT-S2011600-7};{300111};{};{156}
release purchase requisition (2);2022-10-20 08:31:57;{};{};{};{300109};{};{}
create purchase requisition;2022-10-20 10:08:07;{};{};{HT-MEC9417};{300112};{};{156}
goods receipt for purchase order;2022-10-20 10:27:15;{};{};{DPC1018};{};{70107};{262}
release purchase order;2022-10-20 10:47:08;{};{};{};{};{70108};{}
convert to purchase order;2022-10-20 11:04:26;{};{};{AZ2-742};{300109};{70109};{99}
goods receipt for purchase order;2022-10-20 11:41:47;{};{};{DPC1015};{};{70106};{262}
release purchase requisition (1);2022-10-20 12:17:37;{};{};{};{300112};{};{}
release purchase requisition (1);2022-10-20 13:28:57;{};{};{};{300111};{};{}
goods issue for production order;2022-10-20 15:06:13;{990029};{};{DPC1018};{};{};{262}
release purchase requisition (2);2022-10-20 18:18:01;{};{};{};{300112};{};{}
create purchase requisition;2022-10-21 09:31:34;{};{};{AM2-540};{300113};{};{156}
release purchase requisition (2);2022-10-21 09:55:13;{};{};{};{300111};{};{}
release purchase requisition (1);2022-10-21 10:40:43;{};{};{};{300113};{};{}
release purchase requisition (1);2022-10-21 11:06:36;{};{};{};{300110};{};{}
release purchase order;2022-10-21 14:31:54;{};{};{};{};{70109};{}
release purchase requisition (2);2022-10-21 14:37:42;{};{};{};{300113};{};{}
convert to purchase order;2022-10-21 16:52:32;{};{};{HT-S2011600-7};{300111};{70110};{156}
convert to purchase order;2022-10-24 08:24:04;{};{};{HT-MEC9417};{300112};{70111};{156}
release purchase requisition (2);2022-10-24 08:41:33;{};{};{};{300110};{};{}
convert to purchase order;2022-10-24 10:19:04;{};{};{ACT-BCD};{300110};{70112};{469}
release purchase order;2022-10-24 12:52:29;{};{};{};{};{70110};{}
goods receipt for purchase order;2022-10-24 14:15:19;{};{};{AZ2-742};{};{70109};{99}
convert to purchase order;2022-10-24 16:12:29;{};{};{AM2-540};{300113};{70113};{156}
goods receipt for purchase order;2022-10-24 17:19:32;{};{};{HT-S2011600-7};{};{70110};{156}
goods issue for production order;2022-10-24 18:54:16;{990025};{};{HT-S2011600-7};{};{};{156}
release purchase order;2022-10-25 09:26:42;{};{};{};{};{70111};{}
goods receipt for purchase order;2022-10-25 10:36:50;{};{};{HT-MEC9417};{};{70111};{156}
goods issue for production order;2022-10-25 10:38:13;{990044};{};{AZ2-742};{};{};{99}
release purchase order;2022-10-25 12:32:00;{};{};{};{};{70112};{}
release purchase order;2022-10-25 17:22:33;{};{};{};{};{70113};{}
goods issue for production order;2022-10-25 18:09:22;{990029};{};{DPC1015};{};{};{262}
confirm production order;2022-10-25 18:09:22;{990029};{000000000050066346};{};{};{};{262}
goods receipt for purchase order;2022-10-26 14:07:27;{};{};{ACT-BCD};{};{70112};{469}
goods receipt for purchase order;2022-10-26 21:25:15;{};{};{HT-MEC0717};{};{70108};{198}
goods issue for production order;2022-10-27 15:39:17;{990037};{};{ACT-BCD};{};{};{469}
confirm production order;2022-10-27 15:39:17;{990037};{ACT-DCD-11};{};{};{};{469}
goods issue for production order;2022-10-28 13:09:03;{990025};{};{HT-MEC9417};{};{};{156}
create production order;2022-10-31 09:38:52;{990036};{ACT-DCD-11};{ACT-BCD};{};{};{86}
create production order;2022-10-31 15:22:56;{990032};{000000000050066346};{DPC1015,DPC1018};{};{};{218}
create purchase requisition;2022-10-31 16:45:39;{};{};{DPC1015};{300114};{};{218}
create purchase requisition;2022-11-01 10:33:09;{};{};{DPC1018};{300115};{};{218}
goods receipt for purchase order;2022-11-01 12:20:59;{};{};{AM2-540};{};{70113};{156}
release purchase requisition (1);2022-11-01 12:23:46;{};{};{};{300114};{};{}
release purchase requisition (1);2022-11-02 09:48:58;{};{};{};{300115};{};{}
goods issue for production order;2022-11-02 10:27:20;{990025};{};{AM2-540};{};{};{156}
confirm production order;2022-11-02 10:27:20;{990025};{CLIP-ON_MIC};{};{};{};{156}
release purchase requisition (2);2022-11-02 12:13:50;{};{};{};{300115};{};{}
create purchase requisition;2022-11-02 12:17:05;{};{};{ACT-BCD};{300116};{};{86}
release purchase requisition (1);2022-11-02 21:30:49;{};{};{};{300116};{};{}
goods issue for production order;2022-11-03 10:25:31;{990044};{};{HT-MEC0717};{};{};{198}
confirm production order;2022-11-03 10:25:31;{990044};{IBP-120};{};{};{};{99}
release purchase requisition (2);2022-11-03 10:44:00;{};{};{};{300114};{};{}
convert to purchase order;2022-11-03 10:51:19;{};{};{DPC1015};{300114};{70114};{218}
release purchase requisition (2);2022-11-03 12:17:16;{};{};{};{300116};{};{}
convert to purchase order;2022-11-03 15:04:55;{};{};{ACT-BCD};{300116};{70115};{86}
convert to purchase order;2022-11-04 10:54:17;{};{};{DPC1018};{300115};{70116};{218}
release purchase order;2022-11-04 11:08:36;{};{};{};{};{70115};{}
goods receipt for purchase order;2022-11-04 11:30:27;{};{};{ACT-BCD};{};{70115};{86}
release purchase order;2022-11-04 12:54:33;{};{};{};{};{70114};{}
goods issue for production order;2022-11-04 15:01:17;{990036};{};{ACT-BCD};{};{};{86}
confirm production order;2022-11-04 15:01:17;{990036};{ACT-DCD-11};{};{};{};{86}
create production order;2022-11-08 12:27:49;{990028};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{91}
create purchase requisition;2022-11-08 16:55:37;{};{};{AZ2-742};{300117};{};{91}
goods receipt for purchase order;2022-11-08 17:16:46;{};{};{DPC1015};{};{70114};{218}
create purchase requisition;2022-11-08 20:57:54;{};{};{HT-MEC0717};{300118};{};{182}
release purchase requisition (1);2022-11-09 10:28:14;{};{};{};{300118};{};{}
release purchase requisition (2);2022-11-09 17:36:30;{};{};{};{300118};{};{}
convert to purchase order;2022-11-10 10:37:06;{};{};{HT-MEC0717};{300118};{70117};{182}
release purchase requisition (1);2022-11-10 10:47:14;{};{};{};{300117};{};{}
goods issue for production order;2022-11-10 13:20:07;{990032};{};{DPC1015};{};{};{218}
release purchase order;2022-11-10 15:41:29;{};{};{};{};{70117};{}
goods receipt for purchase order;2022-11-11 13:20:39;{};{};{HT-MEC0717};{};{70117};{182}
release purchase order;2022-11-11 15:42:15;{};{};{};{};{70116};{}
release purchase requisition (2);2022-11-11 17:57:19;{};{};{};{300117};{};{}
convert to purchase order;2022-11-14 09:45:58;{};{};{AZ2-742};{300117};{70118};{91}
goods issue for production order;2022-11-14 21:18:13;{990028};{};{HT-MEC0717};{};{};{182}
goods receipt for purchase order;2022-11-15 09:53:46;{};{};{DPC1018};{};{70116};{218}
release purchase order;2022-11-15 12:26:14;{};{};{};{};{70118};{}
goods receipt for purchase order;2022-11-16 13:59:42;{};{};{AZ2-742};{};{70118};{91}
goods issue for production order;2022-11-17 16:55:19;{990032};{};{DPC1018};{};{};{218}
confirm production order;2022-11-17 16:55:19;{990032};{000000000050066346};{};{};{};{218}
goods issue for production order;2022-11-24 10:20:12;{990028};{};{AZ2-742};{};{};{91}
confirm production order;2022-11-24 10:20:12;{990028};{IBP-120};{};{};{};{91}
